OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),Electricity(kBtu),NaturalGas(kBtu)
23010,Multifamily MR (5-9),Mid-Rise Multifamily,1970,1.0,7,88340,Multifamily Housing,88340.0,not concerned,0.0,3600897.25,3858607.0,2769785.0,831112.0
23011,NonResidential,Retail Store,1966,1.0,1,41615,Retail Store,41615.0,not concerned,0.0,1900006.25,2001296.75,1900006.0,0.0
23017,NonResidential,Medical Office,1988,1.0,3,28841,Medical Office,28841.0,not concerned,0.0,1459199.75,1525049.625,955324.0,503875.0
23020,NonResidential,Self-Storage Facility,1977,2.0,2,33344,Self-Storage Facility,31360.0,Office,984.0,123767.2031,129466.8984,123767.0,0.0
23022,Nonresidential COS,Other,2005,2.0,1,30498,Other - Recreation,30498.0,not concerned,0.0,2436063.0,2652254.5,1066226.0,1369837.0
23025,Multifamily MR (5-9),Senior Care Community,1972,1.0,8,124904,Senior Care Community,124848.0,not concerned,0.0,6682175.0,7157025.0,4763373.0,1918802.0
23026,Multifamily LR (1-4),Low-Rise Multifamily,1989,1.0,4,44645,Multifamily Housing,37588.0,Parking,7057.0,1299001.625,1367471.0,1299001.0,0.0
23028,Multifamily LR (1-4),Mixed Use Property,1901,1.0,3,44104,Multifamily Housing,21000.0,Office,11100.0,1169932.75,1268988.25,1169932.0,0.0
23031,Multifamily LR (1-4),Low-Rise Multifamily,1988,1.0,4,24711,Multifamily Housing,24711.0,not concerned,0.0,552822.125,585437.625,552822.0,0.0
23040,NonResidential,K-12 School,1924,1.0,2,42975,K-12 School,21405.0,not concerned,0.0,959352.0,1124454.25,173165.0,786187.0
23047,Multifamily LR (1-4),Low-Rise Multifamily,1974,1.0,3,21552,Multifamily Housing,21552.0,not concerned,0.0,552015.625,577043.125,552016.0,0.0
23050,Multifamily LR (1-4),Low-Rise Multifamily,1988,1.0,3,298714,Multifamily Housing,142989.0,Other,3155.0,4746244.5,5045478.5,4605827.0,140416.0
23051,NonResidential,Small- and Mid-Sized Office,1988,1.0,2,30659,Office,27262.0,Non-Refrigerated Warehouse,8653.0,2619088.5,2828171.5,1804388.0,814700.0
23056,NonResidential,Other,1920,1.0,2,27144,Other,27144.0,not concerned,0.0,1012024.313,1138349.25,458796.0,553228.0
23064,NonResidential,Other,1970,5.0,1,23166,Other,23166.0,not concerned,0.0,3475804.25,3648465.5,3.0,3475801.0
23065,NonResidential,Medical Office,1979,1.0,2,34759,Medical Office,44667.0,Parking,0.0,1633105.375,1633105.375,1633105.0,0.0
23074,Multifamily LR (1-4),Low-Rise Multifamily,1999,1.0,3,29810,Multifamily Housing,37296.0,Office,40.0,1943933.625,2024134.875,1943933.0,0.0
23075,Multifamily LR (1-4),Low-Rise Multifamily,1968,1.0,3,24163,Multifamily Housing,24052.0,not concerned,0.0,567608.625,595017.875,567608.0,0.0
23078,Multifamily LR (1-4),Low-Rise Multifamily,1972,1.0,3,20368,Multifamily Housing,20368.0,not concerned,0.0,586848.1875,620477.875,586848.0,0.0
23080,Multifamily LR (1-4),Low-Rise Multifamily,1927,1.0,3,22059,Multifamily Housing,22059.0,not concerned,0.0,1747034.0,1957870.75,314076.0,1432958.0
23098,NonResidential,Supermarket / Grocery Store,1965,1.0,1,21603,Supermarket/Grocery Store,21603.0,not concerned,0.0,5833800.0,5927199.5,3900058.0,1933742.0
23101,Multifamily HR (10+),High-Rise Multifamily,1963,1.0,11,65538,Multifamily Housing,65538.0,not concerned,0.0,2493240.25,2693939.25,2386917.0,106323.0
23102,Multifamily HR (10+),High-Rise Multifamily,1980,1.0,18,125258,Multifamily Housing,112950.0,Office,8636.0,4826430.0,5202618.5,3002811.0,1823618.0
23103,Multifamily LR (1-4),Low-Rise Multifamily,2000,1.0,3,26148,Multifamily Housing,26148.0,not concerned,0.0,1002458.875,1068830.875,748194.0,254265.0
23104,Multifamily LR (1-4),Low-Rise Multifamily,1988,1.0,4,24847,Multifamily Housing,24847.0,not concerned,0.0,647321.5,689532.3125,647321.0,0.0
23105,Multifamily LR (1-4),Low-Rise Multifamily,1985,1.0,4,26827,Multifamily Housing,22356.0,not concerned,0.0,785144.8125,844363.1875,785145.0,0.0
23106,Multifamily MR (5-9),Mid-Rise Multifamily,1973,2.0,5,57233,Multifamily Housing,63414.0,not concerned,0.0,2299216.0,2486479.0,1679931.0,619285.0
23107,Multifamily MR (5-9),Mid-Rise Multifamily,2000,1.0,6,68400,Multifamily Housing,68400.0,not concerned,0.0,1167734.75,1194171.25,1167735.0,0.0
23108,Multifamily LR (1-4),Low-Rise Multifamily,1986,1.0,4,17840,Multifamily Housing,21200.0,Parking,7600.0,623526.625,674995.5,623527.0,0.0
23109,Multifamily LR (1-4),Low-Rise Multifamily,1986,1.0,3,33331,Multifamily Housing,27791.0,Parking,5540.0,776996.875,808540.5,776997.0,0.0
23110,Multifamily LR (1-4),Low-Rise Multifamily,1968,1.0,3,68815,Multifamily Housing,68815.0,not concerned,0.0,1702992.0,1769178.25,1702992.0,0.0
23111,Multifamily MR (5-9),Mid-Rise Multifamily,1994,1.0,6,31027,Multifamily Housing,33500.0,not concerned,0.0,991759.125,1052068.5,820599.0,171160.0
23113,NonResidential,Medical Office,1964,1.0,3,591981,Medical Office,520187.0,Parking,282392.0,102673696.0,103985264.0,48002292.0,54671394.0
23115,NonResidential,Distribution Center,1979,1.0,1,42900,Distribution Center,43050.0,not concerned,0.0,436252.5,461205.5938,436253.0,0.0
23125,Multifamily MR (5-9),Mid-Rise Multifamily,2010,1.0,6,435501,Multifamily Housing,338660.0,Parking,39820.0,13223740.0,14085977.0,8610133.0,4613607.0
23128,Multifamily LR (1-4),Low-Rise Multifamily,1972,1.0,4,22472,Multifamily Housing,20842.0,not concerned,0.0,364966.9063,389163.0,364967.0,0.0
23130,Multifamily LR (1-4),Low-Rise Multifamily,1978,1.0,4,28918,Multifamily Housing,28918.0,not concerned,0.0,756337.8125,791132.625,733881.0,22457.0
23132,Multifamily LR (1-4),Low-Rise Multifamily,1990,1.0,4,43035,Multifamily Housing,28543.0,Parking,10807.0,831855.875,862168.0,831856.0,0.0
23158,NonResidential,Warehouse,1956,1.0,2,25840,Non-Refrigerated Warehouse,25840.0,not concerned,0.0,313528.0938,310602.3125,313528.0,0.0
23161,NonResidential,Small- and Mid-Sized Office,1988,1.0,1,45145,Office,43813.0,not concerned,0.0,1268459.0,1405510.25,514491.0,753968.0
23162,Multifamily MR (5-9),Mid-Rise Multifamily,1988,1.0,6,68669,Multifamily Housing,68669.0,not concerned,0.0,1734822.375,1849454.0,1734822.0,0.0
23164,NonResidential,Small- and Mid-Sized Office,2001,1.0,5,48237,Office,44417.0,Parking,25915.0,1981115.25,2000777.25,1866104.0,115011.0
23166,Multifamily LR (1-4),Low-Rise Multifamily,1992,1.0,3,24192,Multifamily Housing,24192.0,not concerned,0.0,501553.3125,534824.8125,501553.0,0.0
23167,Multifamily MR (5-9),Mid-Rise Multifamily,1965,1.0,5,44616,Multifamily Housing,44616.0,not concerned,0.0,1612167.25,1747326.875,1612167.0,0.0
23170,Multifamily LR (1-4),Low-Rise Multifamily,1978,1.0,3,135955,Multifamily Housing,143098.0,Parking,0.0,4027134.75,4210997.0,3540065.0,487069.0
23172,Multifamily LR (1-4),Low-Rise Multifamily,2005,1.0,4,66013,Multifamily Housing,48550.0,Parking,12032.0,1750362.25,1838214.75,1750362.0,0.0
23173,Multifamily MR (5-9),Mid-Rise Multifamily,1960,1.0,5,21822,Multifamily Housing,21822.0,not concerned,0.0,721983.5,770349.3125,721983.0,0.0
23174,Multifamily LR (1-4),Mid-Rise Multifamily,1969,1.0,5,30569,Multifamily Housing,30921.0,not concerned,0.0,6834431.0,7169577.0,6691197.0,143233.0
23175,Multifamily LR (1-4),Low-Rise Multifamily,1978,1.0,4,34590,Multifamily Housing,34590.0,not concerned,0.0,659652.625,703658.0,659653.0,0.0
23177,Multifamily LR (1-4),Low-Rise Multifamily,2000,1.0,3,37964,Multifamily Housing,37964.0,not concerned,0.0,1162493.625,1194672.25,1162493.0,0.0
23181,Multifamily LR (1-4),Low-Rise Multifamily,1907,1.0,3,22402,Multifamily Housing,22402.0,not concerned,0.0,686757.875,720130.8125,636865.0,49893.0
23182,Multifamily MR (5-9),Mid-Rise Multifamily,2008,1.0,7,97490,Multifamily Housing,61082.0,Parking,27493.0,2823792.25,2925521.0,1793091.0,1030701.0
23184,Multifamily MR (5-9),Mid-Rise Multifamily,1911,1.0,5,30985,Multifamily Housing,31841.0,Parking,0.0,1162120.375,1210870.25,1162120.0,0.0
23187,Multifamily LR (1-4),Low-Rise Multifamily,1991,1.0,4,109874,Multifamily Housing,71226.0,Parking,38648.0,3432655.0,3674416.5,2289672.0,1142983.0
23189,Multifamily LR (1-4),Low-Rise Multifamily,1999,1.0,4,37692,Multifamily Housing,23986.0,not concerned,0.0,648879.3125,678906.8125,648879.0,0.0
23191,Multifamily LR (1-4),Low-Rise Multifamily,1966,1.0,4,31744,Multifamily Housing,31744.0,not concerned,0.0,745336.8125,782061.6875,745337.0,0.0
23196,Multifamily LR (1-4),Low-Rise Multifamily,1907,1.0,3,35000,Multifamily Housing,35000.0,not concerned,0.0,872114.5,929197.6875,872114.0,0.0
23204,SPS-District K-12,K-12 School,1971,1.0,1,50546,K-12 School,53234.0,not concerned,0.0,1155080.5,1220512.25,1066312.0,88768.0
23212,Multifamily LR (1-4),Low-Rise Multifamily,1930,1.0,4,36837,Multifamily Housing,36837.0,Parking,0.0,1412424.25,1434297.75,663416.0,749008.0
23213,Multifamily LR (1-4),Low-Rise Multifamily,1930,1.0,4,39520,Multifamily Housing,39520.0,not concerned,0.0,2466700.5,2724621.0,464992.0,2001708.0
23215,Multifamily LR (1-4),Low-Rise Multifamily,1929,1.0,4,41420,Multifamily Housing,41420.0,not concerned,0.0,1189942.75,1290222.25,668566.0,521377.0
23216,Multifamily LR (1-4),Low-Rise Multifamily,1930,1.0,3,20798,Multifamily Housing,20798.0,not concerned,0.0,1266387.0,1378544.75,136879.0,1129508.0
23220,Multifamily LR (1-4),Low-Rise Multifamily,1930,1.0,4,32693,Multifamily Housing,27035.0,Parking,0.0,1870457.75,2070112.75,270535.0,1599922.0
23222,Multifamily LR (1-4),Low-Rise Multifamily,1958,1.0,3,23553,Multifamily Housing,23553.0,Parking,6258.0,721549.625,764063.625,721550.0,0.0
23223,Multifamily MR (5-9),Mid-Rise Multifamily,1989,1.0,5,22606,Multifamily Housing,19531.0,Office,3075.0,566183.0,606213.3125,566183.0,0.0
23226,Multifamily LR (1-4),Low-Rise Multifamily,2001,1.0,3,23381,Multifamily Housing,23381.0,Parking,3500.0,420148.1875,444150.6875,420148.0,0.0
23228,NonResidential,Supermarket / Grocery Store,1994,1.0,1,45522,Supermarket/Grocery Store,45522.0,Parking,0.0,12250422.0,12559767.0,7019711.0,5230709.0
23231,NonResidential,Retail Store,1979,1.0,2,20088,Retail Store,16080.0,Office,3500.0,326778.6875,337536.0938,326778.0,0.0
23240,Multifamily LR (1-4),Low-Rise Multifamily,1990,1.0,4,27328,Multifamily Housing,23466.0,Restaurant,3862.0,1110150.625,1176168.25,1110150.0,0.0
23242,Multifamily MR (5-9),Mid-Rise Multifamily,2014,1.0,7,72356,Multifamily Housing,62989.0,Parking,28670.0,2495819.0,2618214.25,1711059.0,784760.0
23251,Multifamily LR (1-4),Low-Rise Multifamily,1969,1.0,3,24180,Multifamily Housing,24180.0,not concerned,0.0,540323.3125,581283.375,540323.0,0.0
23253,Multifamily LR (1-4),Low-Rise Multifamily,1980,1.0,4,23932,Multifamily Housing,23932.0,not concerned,0.0,654625.5,687252.6875,654625.0,0.0
23265,Campus,Other,1989,5.0,2,138907,Other,139557.0,not concerned,0.0,7837692.5,8551562.0,5130303.0,2707389.0
23268,NonResidential,Small- and Mid-Sized Office,1997,1.0,2,40657,Office,40657.0,Parking,0.0,2826828.0,2828385.0,2742404.0,84424.0
23277,NonResidential,Warehouse,1900,1.0,1,20200,Non-Refrigerated Warehouse,18700.0,Office,1500.0,269016.6875,283275.0,260808.0,8209.0
23285,Multifamily LR (1-4),Low-Rise Multifamily,1930,1.0,3,32688,Multifamily Housing,29370.0,Parking,3318.0,1721727.25,1923281.25,282167.0,1439560.0
23286,Multifamily LR (1-4),Low-Rise Multifamily,1948,1.0,3,50145,Multifamily Housing,46445.0,Parking,3700.0,2944680.75,3225209.5,603599.0,2341082.0
23287,Multifamily HR (10+),High-Rise Multifamily,2008,1.0,26,455459,Multifamily Housing,629615.0,Parking,121056.0,25970248.0,26781786.0,17592132.0,8378113.0
23288,Multifamily LR (1-4),Low-Rise Multifamily,1920,1.0,4,24900,Multifamily Housing,24900.0,not concerned,0.0,1872278.625,2069689.0,295975.0,1576304.0
23289,Multifamily LR (1-4),Low-Rise Multifamily,1929,1.0,4,25380,Multifamily Housing,25380.0,not concerned,0.0,1988760.875,2233197.75,178173.0,1810588.0
23290,Multifamily MR (5-9),Mid-Rise Multifamily,2009,1.0,6,32489,Multifamily Housing,20346.0,not concerned,0.0,2023858.75,2110448.5,1287494.0,736365.0
23292,Multifamily HR (10+),High-Rise Multifamily,2006,1.0,17,237425,Multifamily Housing,173204.0,not concerned,0.0,13491170.0,14132450.0,10429413.0,3061756.0
23293,Multifamily LR (1-4),Low-Rise Multifamily,1902,1.0,4,54770,Multifamily Housing,50120.0,Restaurant,3500.0,2960377.25,3283019.25,929683.0,2030694.0
23295,Multifamily LR (1-4),Low-Rise Multifamily,1906,1.0,4,33872,Multifamily Housing,26100.0,Parking,1893.0,400354.3125,409596.4063,334825.0,65529.0
23297,NonResidential,Residence Hall,1904,1.0,1,44086,Residence Hall/Dormitory,44091.0,not concerned,0.0,3652708.75,4056815.5,1218944.0,513291.0
23299,NonResidential,Small- and Mid-Sized Office,1970,1.0,7,33548,Office,54372.0,Parking,15000.0,1403820.0,1479454.375,1403820.0,0.0
23300,Multifamily LR (1-4),Low-Rise Multifamily,1956,1.0,3,24039,Multifamily Housing,24039.0,not concerned,0.0,831071.3125,897237.0,831071.0,0.0
23301,Multifamily MR (5-9),Mid-Rise Multifamily,1960,1.0,7,45564,Multifamily Housing,45564.0,not concerned,0.0,3014332.0,3255291.5,606767.0,2407565.0
23304,Multifamily HR (10+),High-Rise Multifamily,1967,1.0,11,92183,Multifamily Housing,92183.0,not concerned,0.0,5104947.0,5475504.5,1849153.0,183955.0
23305,Multifamily LR (1-4),Low-Rise Multifamily,1925,1.0,4,25316,Multifamily Housing,25316.0,not concerned,0.0,1515854.875,1632577.125,515916.0,999939.0
23306,Multifamily LR (1-4),Low-Rise Multifamily,1957,1.0,3,51098,Multifamily Housing,51098.0,not concerned,0.0,1859782.625,1984008.75,1859782.0,0.0
23307,Multifamily MR (5-9),Mid-Rise Multifamily,1999,1.0,6,57042,Multifamily Housing,42952.0,Parking,14090.0,1195351.25,1236766.5,1195351.0,0.0
23311,NonResidential,Medical Office,1945,1.0,0,274568,Medical Office,228133.0,Parking,135954.0,25311526.0,25358122.0,12015275.0,0.0
23313,NonResidential,Small- and Mid-Sized Office,1956,1.0,3,21282,Office,19658.0,not concerned,0.0,1245923.75,1380656.125,483381.0,0.0
23320,NonResidential,Other,1921,1.0,2,41022,Other,41022.0,not concerned,0.0,3787648.25,3787648.25,3787648.0,0.0
23322,Multifamily LR (1-4),Low-Rise Multifamily,1982,1.0,4,93087,Multifamily Housing,59165.0,Parking,14556.0,1967434.5,2124894.75,1797601.0,169833.0
23323,Multifamily LR (1-4),Low-Rise Multifamily,1965,1.0,3,86835,Multifamily Housing,52000.0,Retail Store,9300.0,2299535.25,2426149.75,1978038.0,321497.0
23397,NonResidential,Other,1966,1.0,2,28109,Other,28109.0,not concerned,0.0,3612526.75,3612526.75,3326281.0,286245.0
23327,Multifamily LR (1-4),Low-Rise Multifamily,1990,3.0,4,128649,Multifamily Housing,113994.0,Parking,14655.0,3776252.25,3963627.25,3776252.0,0.0
23331,NonResidential,Small- and Mid-Sized Office,1985,1.0,3,20590,Office,20590.0,Parking,12990.0,409578.4063,409578.4063,409579.0,0.0
23335,Multifamily MR (5-9),Senior Care Community,2010,1.0,7,124773,Senior Care Community,124773.0,Parking,41141.0,4217623.0,4331227.5,2700639.0,1516984.0
23338,Multifamily LR (1-4),Low-Rise Multifamily,2001,1.0,4,21388,Multifamily Housing,16386.0,Parking,4180.0,530700.125,559886.1875,530700.0,0.0
23340,Multifamily MR (5-9),Mid-Rise Multifamily,2000,1.0,6,103554,Multifamily Housing,80250.0,not concerned,0.0,1971236.0,2027196.0,1971236.0,0.0
23342,NonResidential,Warehouse,1977,1.0,1,21936,Non-Refrigerated Warehouse,21936.0,not concerned,0.0,113130.0,116642.5,71827.0,41303.0
23343,NonResidential,Other,1969,1.0,1,30160,Other,30139.0,not concerned,0.0,1045838.5,1184385.875,244597.0,801241.0
23360,Multifamily LR (1-4),Low-Rise Multifamily,1991,1.0,4,28645,Multifamily Housing,24665.0,Office,3980.0,703847.375,738722.0,703847.0,0.0
23364,Multifamily LR (1-4),Low-Rise Multifamily,1991,1.0,4,34544,Multifamily Housing,24813.0,Retail Store,5690.0,923492.6875,995183.1875,779228.0,144264.0
23365,Multifamily LR (1-4),Low-Rise Multifamily,1960,1.0,3,22195,Multifamily Housing,22195.0,not concerned,0.0,604183.1875,652245.5,604183.0,0.0
23367,Multifamily MR (5-9),Mid-Rise Multifamily,1976,1.0,5,72155,Multifamily Housing,72155.0,Parking,18039.0,1999039.75,2171473.5,1439179.0,559861.0
23368,NonResidential,Mixed Use Property,1909,1.0,11,111137,Office,42939.0,Multifamily Housing,40878.0,9546165.0,9946297.0,4602455.0,4943709.0
23372,Multifamily LR (1-4),Low-Rise Multifamily,1989,1.0,3,30080,Multifamily Housing,30080.0,not concerned,0.0,629027.3125,661339.375,629027.0,0.0
