OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),Electricity(kBtu),NaturalGas(kBtu)
1,NonResidential,Hotel,1927,1.0,12,88434,Hotel,88434.0,not concerned,0.0,7226362.5,7456910.0,3946027.0,1276453.0
2,NonResidential,Hotel,1996,1.0,11,88502,Hotel,83880.0,Parking,15064.0,8387933.0,8664479.0,3242851.0,5145082.0
3,NonResidential,Hotel,1969,1.0,41,759392,Hotel,756493.0,not concerned,0.0,72587024.0,73937112.0,49526664.0,1493800.0
5,NonResidential,Hotel,1926,1.0,10,61320,Hotel,61320.0,not concerned,0.0,6794584.0,6946800.5,2768924.0,1811213.0
8,NonResidential,Hotel,1980,1.0,18,113580,Hotel,123445.0,Parking,68009.0,14172606.0,14656503.0,5368607.0,8803998.0
10,NonResidential,Hotel,1926,1.0,11,83008,Hotel,81352.0,not concerned,0.0,5758795.0,6062767.5,2811215.0,2947580.0
11,NonResidential,Other,1926,1.0,8,102761,Other - Entertainment/Public Assembly,102761.0,not concerned,0.0,6298131.5,7067881.5,3636655.0,385189.0
12,NonResidential,Hotel,1904,1.0,15,163984,Hotel,163984.0,not concerned,0.0,13723820.0,14194054.0,7297919.0,6425900.0
13,Multifamily MR (5-9),Mid-Rise Multifamily,1910,1.0,6,62216,Multifamily Housing,56132.0,not concerned,0.0,4573777.0,4807679.5,2532015.0,1002026.0
15,NonResidential,Hotel,1969,1.0,11,133884,Hotel,133884.0,not concerned,0.0,16016644.0,16646930.0,6187627.0,4591850.0
16,NonResidential,Hotel,1998,1.0,25,272015,Hotel,336640.0,not concerned,0.0,26941110.0,27070114.0,18083049.0,2858700.0
17,NonResidential,Hotel,1928,1.0,9,65009,Hotel,65009.0,not concerned,0.0,6596057.5,6358719.5,1343000.0,3596705.0
18,NonResidential,Hotel,1980,1.0,33,258352,Hotel,295511.0,Parking,57600.0,22325364.0,22524948.0,13904183.0,4083440.0
19,NonResidential,Hotel,1922,1.0,11,66990,Hotel,67390.0,Parking,25200.0,10750010.0,11179203.0,3832369.0,2046793.0
23,NonResidential,Hotel,1983,1.0,28,331281,Hotel,348329.0,Parking,85000.0,33556756.0,34351920.0,21225277.0,12331475.0
25,NonResidential,Hotel,1916,1.0,10,104352,Hotel,104352.0,not concerned,0.0,10154608.0,10154608.0,5908370.0,815376.0
27,NonResidential,Other,1985,1.0,19,385274,Other,385274.0,not concerned,0.0,47859812.0,49539212.0,18257661.0,29602150.0
28,SPS-District K-12,K-12 School,1961,1.0,2,56228,K-12 School,58916.0,not concerned,0.0,1539478.5,1713623.5,936955.0,602523.0
29,NonResidential,Hotel,2001,1.0,6,58006,Hotel,58006.0,Parking,30586.0,3663534.5,3673186.75,2266231.0,1397303.0
30,NonResidential,University,1928,1.0,7,126593,College/University,125000.0,not concerned,0.0,11343686.0,12183313.0,4647474.0,6696211.0
32,NonResidential,Hotel,1991,1.0,8,128375,Hotel,112676.0,Parking,42000.0,5328051.5,5424942.0,572307.0,4755745.0
33,NonResidential,Hotel,2001,1.0,10,133585,Hotel,128909.0,not concerned,0.0,11061916.0,11171407.0,5610706.0,5451210.0
34,SPS-District K-12,K-12 School,1955,1.0,1,126351,K-12 School,126351.0,not concerned,0.0,0.0,0.0,0.0,0.0
35,NonResidential,Hotel,1978,1.0,5,52210,Hotel,47994.0,not concerned,0.0,4456714.5,4557974.0,2346349.0,2110365.0
36,SPS-District K-12,K-12 School,1949,1.0,2,160645,K-12 School,164229.0,not concerned,0.0,6779173.0,7800349.5,1947601.0,4831572.0
37,SPS-District K-12,K-12 School,1989,1.0,2,51582,K-12 School,55166.0,not concerned,0.0,0.0,0.0,1496816.0,0.0
40,NonResidential,Hotel,1994,1.0,4,81871,Hotel,81871.0,not concerned,0.0,6668568.5,6731281.5,3016399.0,3652169.0
41,NonResidential,Self-Storage Facility,1955,1.0,2,110356,Self-Storage Facility,26225.0,not concerned,0.0,318364.8125,326223.0938,281265.0,37100.0
50,SPS-District K-12,K-12 School,1990,1.0,2,54986,K-12 School,54986.0,not concerned,0.0,1650279.25,1802471.375,1217589.0,432690.0
51,SPS-District K-12,K-12 School,1950,1.0,2,175565,K-12 School,182861.0,not concerned,0.0,6399127.5,7329817.5,1599684.0,4799443.0
52,NonResidential,Small- and Mid-Sized Office,1961,1.0,2,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,6186461.5,6536359.5,4291585.0,1894876.0
54,NonResidential,K-12 School,1954,1.0,3,175015,K-12 School,175015.0,not concerned,0.0,6994740.5,7886505.5,2679739.0,4315001.0
56,NonResidential,Hotel,1969,1.0,24,126240,Hotel,348630.0,not concerned,0.0,16163194.0,16163194.0,12204406.0,3958787.0
57,NonResidential,Large Office,1973,1.0,5,168115,Office,103362.0,Retail Store,65676.0,9536161.0,9536161.0,9536160.0,0.0
59,NonResidential,Small- and Mid-Sized Office,1910,1.0,8,59400,Office,34947.0,Retail Store,4993.0,5071974.0,5242479.5,5071973.0,0.0
60,NonResidential,Mixed Use Property,1926,1.0,2,52549,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,15026196.0,15683742.0,4632459.0,10393737.0
62,NonResidential,Hotel,1930,1.0,20,88591,Hotel,83591.0,Parking,10043.0,4841347.5,5078816.0,4290059.0,551288.0
63,NonResidential,Hotel,1982,1.0,34,847518,Hotel,994212.0,Parking,117668.0,80469216.0,82318072.0,45545529.0,23324992.0
65,NonResidential,Hotel,1985,1.0,7,71150,Hotel,41340.0,Parking,13730.0,5348309.0,5348309.0,3243900.0,2104408.0
67,NonResidential,Hotel,1959,1.0,5,70627,Hotel,70627.0,Parking,42546.0,5284343.5,5428403.5,2944680.0,2339663.0
68,NonResidential,Hotel,2000,1.0,7,115718,Hotel,107547.0,Restaurant,3000.0,6715187.0,6835263.5,3396109.0,3319078.0
69,NonResidential,Hotel,1997,1.0,6,88100,Hotel,88490.0,Parking,28300.0,5827595.5,5941927.0,3188457.0,2639138.0
70,NonResidential,Hotel,1998,1.0,6,118858,Hotel,155602.0,not concerned,0.0,6836900.0,6849826.5,4558937.0,2277962.0
73,NonResidential,K-12 School,1911,1.0,3,56072,K-12 School,56072.0,not concerned,0.0,3234787.75,3800842.5,551867.0,2682920.0
77,NonResidential,Hotel,1999,1.0,4,78051,Hotel,78051.0,Parking,44891.0,5337334.0,5387530.0,2423730.0,2913604.0
82,NonResidential,Small- and Mid-Sized Office,1962,1.0,2,54984,Office,54984.0,not concerned,0.0,3375211.0,3630147.25,1978230.0,1396981.0
84,NonResidential,Senior Care Community,1922,1.0,5,217603,Senior Care Community,296313.0,Parking,0.0,42792072.0,45547252.0,11824772.0,30967300.0
85,NonResidential,Senior Care Community,1970,1.0,2,93397,Senior Care Community,93397.0,not concerned,0.0,16402563.0,16959754.0,5679498.0,10723064.0
86,NonResidential,Hotel,2008,1.0,6,63371,Hotel,63371.0,Parking,20732.0,3706100.25,3787499.0,2812688.0,893412.0
87,SPS-District K-12,K-12 School,1948,1.0,2,53352,K-12 School,65568.0,not concerned,0.0,0.0,0.0,600813.0,0.0
89,NonResidential,Medical Office,1965,0.0,3,179014,Medical Office,179014.0,not concerned,0.0,16701055.0,16527711.0,9886484.0,6814570.0
95,NonResidential,Hotel,1908,1.0,7,76631,Hotel,76631.0,not concerned,0.0,7258758.5,7250730.5,2660742.0,4598016.0
96,NonResidential,Mixed Use Property,1983,1.0,6,90439,Medical Office,40174.0,Parking,20868.0,15473117.0,15684371.0,10145313.0,0.0
98,NonResidential,Retail Store,1929,1.0,2,58320,Retail Store,72072.0,not concerned,0.0,1049748.625,1243027.75,361803.0,687945.0
100,NonResidential,Large Office,2010,1.0,5,316306,Office,261826.0,Parking,150726.0,13795954.0,13909270.0,12871091.0,924861.0
102,NonResidential,Hotel,1990,1.0,7,238097,Hotel,235788.0,Parking,51537.0,19459304.0,20194606.0,10980652.0,8478651.0
103,Nonresidential COS,Other,1962,1.0,1,389000,Other,368000.0,not concerned,0.0,23658978.0,23736924.0,14419146.0,688680.0
104,Nonresidential COS,Other,1962,1.0,1,91213,Other,65000.0,not concerned,0.0,8141155.5,8181881.0,3754115.0,0.0
106,Nonresidential COS,Other,1938,1.0,5,396085,Other,278500.0,not concerned,0.0,20955026.0,21257836.0,7252325.0,0.0
107,NonResidential,Large Office,2010,1.0,12,571329,Office,598801.0,Parking,310699.0,39605888.0,40153432.0,32206199.0,7399685.0
110,Nonresidential COS,Other,1962,1.0,2,52000,Other,52000.0,not concerned,0.0,2726369.0,2682242.75,1293349.0,0.0
111,Nonresidential COS,Other,1928,1.0,1,60696,Other,108000.0,not concerned,0.0,875943.3125,875943.3125,875943.0,0.0
112,Nonresidential COS,Other,1928,1.0,2,262048,Other,296000.0,not concerned,0.0,20723248.0,20823520.0,13512686.0,0.0
114,NonResidential,Large Office,2010,1.0,6,616891,Office,729584.0,Parking,185014.0,36667044.0,38105108.0,27597261.0,9069780.0
115,NonResidential,Small- and Mid-Sized Office,1970,1.0,4,50283,Office,48546.0,Parking,21454.0,3476212.5,3647345.75,2944692.0,531520.0
116,NonResidential,Hotel,2002,1.0,6,59976,Hotel,59976.0,Parking,36934.0,5155568.5,5274523.0,2637011.0,2518558.0
118,SPS-District K-12,K-12 School,1999,1.0,3,74468,K-12 School,75364.0,not concerned,0.0,0.0,0.0,1698176.0,0.0
119,NonResidential,K-12 School,1923,1.0,3,67743,K-12 School,67743.0,not concerned,0.0,2646879.0,3036464.0,1337786.0,1309093.0
120,NonResidential,K-12 School,1908,1.0,6,194104,K-12 School,194104.0,not concerned,0.0,6219841.5,7204080.0,1887893.0,4331949.0
121,NonResidential,Small- and Mid-Sized Office,2003,1.0,3,63681,Office,63681.0,Parking,35752.0,4897760.0,4980737.5,4897760.0,0.0
122,SPS-District K-12,K-12 School,1991,1.0,2,58933,K-12 School,60725.0,not concerned,0.0,0.0,0.0,2347138.0,0.0
125,SPS-District K-12,K-12 School,1957,1.0,1,130862,K-12 School,134446.0,not concerned,0.0,6456026.0,7300977.5,2262820.0,4193207.0
127,SPS-District K-12,K-12 School,1989,1.0,3,59955,K-12 School,59955.0,not concerned,0.0,1633399.375,1749171.25,1436416.0,196983.0
130,SPS-District K-12,K-12 School,1964,1.0,2,93218,K-12 School,93218.0,not concerned,0.0,2887392.0,3216155.0,1486758.0,1400634.0
131,NonResidential,Other,1941,1.0,4,56521,Other,49000.0,not concerned,0.0,6357632.0,6367210.0,6357631.0,0.0
132,NonResidential,Other,1929,1.0,2,206934,Other,119146.0,Parking,0.0,4253577.5,4384625.5,2001103.0,2252474.0
136,NonResidential,Hotel,2001,1.0,4,51390,Hotel,51390.0,Parking,0.0,3611538.0,3616214.0,1398289.0,2213249.0
137,SPS-District K-12,K-12 School,1963,1.0,2,131013,K-12 School,131909.0,not concerned,0.0,3894584.5,4290831.5,1775488.0,2119097.0
138,SPS-District K-12,K-12 School,1959,1.0,1,245587,K-12 School,245587.0,not concerned,0.0,11765682.0,12870916.0,3926011.0,7839670.0
139,NonResidential,Hotel,2002,1.0,3,69138,Hotel,70609.0,not concerned,0.0,3242458.0,3323400.5,1802889.0,1439568.0
140,SPS-District K-12,K-12 School,1991,1.0,3,66588,K-12 School,66588.0,not concerned,0.0,0.0,0.0,2104286.0,0.0
144,NonResidential,Hotel,1904,1.0,5,190980,Hotel,190980.0,Parking,19051.0,6505995.0,6505995.0,4402910.0,2103084.0
145,Nonresidential COS,Other,1998,1.0,6,284100,Other - Entertainment/Public Assembly,189750.0,not concerned,0.0,14641502.0,14881950.0,9803021.0,527343.0
148,SPS-District K-12,K-12 School,1991,1.0,2,55513,K-12 School,59097.0,not concerned,0.0,1513570.75,1598852.625,1513571.0,0.0
163,Nonresidential COS,Other,2006,1.0,4,61156,Other,42755.0,Office,29219.0,9363374.0,9550716.0,6947270.0,2416104.0
168,NonResidential,Hotel,1996,1.0,4,148022,Hotel,113702.0,Parking,32692.0,7946961.0,8016521.0,4197462.0,3749499.0
169,SPS-District K-12,K-12 School,1990,1.0,4,289588,K-12 School,289588.0,not concerned,0.0,8819852.0,9542598.0,6449764.0,2370086.0
170,NonResidential,University,1915,1.0,3,63330,College/University,64820.0,not concerned,0.0,3059758.0,3284214.5,1911064.0,1148694.0
172,Campus,University,1970,27.0,2,441071,College/University,483000.0,not concerned,0.0,38301744.0,41151732.0,25314575.0,12987166.0
175,SPS-District K-12,K-12 School,2008,1.0,3,254523,K-12 School,254523.0,not concerned,0.0,13567774.0,14810159.0,7835065.0,5732708.0
176,SPS-District K-12,K-12 School,2001,1.0,3,78804,K-12 School,78804.0,not concerned,0.0,2499140.0,2677620.75,1645214.0,853926.0
177,SPS-District K-12,K-12 School,2002,1.0,3,66994,K-12 School,66994.0,not concerned,0.0,2371304.5,2579774.5,1824845.0,546459.0
178,SPS-District K-12,K-12 School,2000,1.0,3,98357,K-12 School,98357.0,not concerned,0.0,3456131.5,3783580.25,1927067.0,1529064.0
179,NonResidential,Small- and Mid-Sized Office,1958,1.0,1,54765,Office,25765.0,Other,25000.0,4253369.5,4503671.5,3569337.0,684032.0
182,NonResidential,University,1980,1.0,2,52611,College/University,52611.0,not concerned,0.0,4116871.5,4390158.0,2479273.0,1637598.0
183,NonResidential,Residence Hall,2001,1.0,4,102100,Residence Hall/Dormitory,135520.0,not concerned,0.0,4448582.5,4800620.5,2316298.0,2132284.0
185,SPS-District K-12,K-12 School,2011,1.0,2,236758,K-12 School,238550.0,Parking,0.0,8355988.5,9287467.0,4789948.0,3566039.0
189,SPS-District K-12,K-12 School,2002,1.0,3,62526,K-12 School,62526.0,not concerned,0.0,1986094.875,2192411.0,1114389.0,871706.0
338,NonResidential,Other,2004,1.0,11,230638,Other,250000.0,not concerned,0.0,65336980.0,66000296.0,30651644.0,34685331.0
190,NonResidential,Small- and Mid-Sized Office,2007,1.0,3,64015,Office,30000.0,Non-Refrigerated Warehouse,15000.0,3242077.75,3375016.25,2657382.0,584696.0
194,NonResidential,Retail Store,1951,1.0,1,530039,Retail Store,505103.0,Restaurant,24936.0,27717034.0,28763498.0,16224529.0,11492503.0
197,NonResidential,Retail Store,1965,1.0,4,124342,Retail Store,122000.0,not concerned,0.0,8765978.0,8729918.0,8653621.0,112356.0
205,SPS-District K-12,K-12 School,1999,1.0,2,242795,K-12 School,242795.0,not concerned,0.0,9157150.0,9708318.0,7859464.0,1297685.0
209,NonResidential,Self-Storage Facility,1910,1.0,5,84870,Self-Storage Facility,85521.0,not concerned,0.0,1381590.125,1617801.25,482635.0,898955.0
211,Campus,University,1970,11.0,2,582447,College/University,667335.0,not concerned,0.0,35891484.0,37410800.0,33450832.0,2440648.0
212,SPS-District K-12,K-12 School,1952,1.0,2,173185,K-12 School,173185.0,not concerned,0.0,6127771.5,7034167.5,1800727.0,4327044.0
214,SPS-District K-12,K-12 School,1963,1.0,1,145341,K-12 School,139069.0,not concerned,0.0,5499097.0,6337972.0,1864967.0,3634130.0
215,NonResidential,Warehouse,1904,1.0,4,114297,Non-Refrigerated Warehouse,114297.0,not concerned,0.0,2100097.75,2415462.5,912475.0,1187623.0
216,SPS-District K-12,K-12 School,1960,1.0,2,184125,K-12 School,184125.0,not concerned,0.0,8800292.0,10067991.0,2999862.0,5800430.0
217,SPS-District K-12,K-12 School,1959,1.0,1,160270,K-12 School,160270.0,not concerned,0.0,0.0,0.0,0.0,4318917.0
220,NonResidential,Warehouse,1937,1.0,1,234144,Non-Refrigerated Warehouse,234144.0,not concerned,0.0,6744317.0,7874958.5,1316817.0,5427500.0
223,NonResidential,Retail Store,1966,1.0,1,64984,Retail Store,65425.0,not concerned,0.0,2944296.25,3016373.5,2613687.0,330609.0
224,NonResidential,Retail Store,1965,1.0,1,67745,Retail Store,67782.0,not concerned,0.0,9230223.0,9589728.0,2624102.0,6606121.0
225,SPS-District K-12,K-12 School,2010,1.0,2,367884,K-12 School,367884.0,not concerned,0.0,12265516.0,13279344.0,8205020.0,4060496.0
226,SPS-District K-12,K-12 School,1958,1.0,1,46797,K-12 School,46797.0,not concerned,0.0,2075891.0,2380144.5,797204.0,1278687.0
227,SPS-District K-12,K-12 School,1963,1.0,3,136188,K-12 School,136188.0,not concerned,0.0,0.0,0.0,0.0,3217877.0
228,NonResidential,Other,1973,1.0,3,56000,Other,56000.0,not concerned,0.0,1851260.5,2088978.125,844864.0,1006396.0
229,SPS-District K-12,K-12 School,2004,1.0,2,67371,K-12 School,67371.0,not concerned,0.0,2128459.0,2260359.75,1445339.0,683120.0
230,NonResidential,Self-Storage Facility,1969,1.0,2,52088,Self-Storage Facility,52088.0,not concerned,0.0,1377519.5,1576122.875,523765.0,853755.0
231,SPS-District K-12,K-12 School,2010,1.0,3,127776,K-12 School,127776.0,not concerned,0.0,4748137.0,4998584.5,3729930.0,1018207.0
232,NonResidential,Hotel,1998,1.0,5,93920,Hotel,123920.0,Parking,30000.0,9373179.0,9676783.0,4079217.0,5293961.0
235,NonResidential,Hotel,1998,1.0,7,153315,Hotel,141591.0,not concerned,0.0,11171988.0,11754087.0,5530787.0,5641200.0
237,SPS-District K-12,K-12 School,1999,1.0,2,67235,K-12 School,67235.0,not concerned,0.0,2284133.75,2443194.0,1564728.0,719406.0
239,SPS-District K-12,K-12 School,1991,1.0,3,58118,K-12 School,59014.0,not concerned,0.0,1407277.25,1519074.75,1158457.0,248820.0
241,NonResidential,Hotel,1968,1.0,4,64893,Hotel,64893.0,not concerned,0.0,6197825.0,6211749.5,2620548.0,3577277.0
242,SPS-District K-12,K-12 School,1989,1.0,2,52792,K-12 School,55480.0,not concerned,0.0,0.0,0.0,0.0,0.0
243,SPS-District K-12,K-12 School,1925,1.0,1,70762,K-12 School,70762.0,not concerned,0.0,3606416.0,4138032.75,491106.0,3115310.0
245,NonResidential,Other,1999,1.0,6,1258280,Other - Entertainment/Public Assembly,1585960.0,Parking,0.0,59757440.0,62160304.0,49439914.0,10317518.0
247,Nonresidential COS,Distribution Center,1924,1.0,2,179161,Distribution Center,117476.0,Office,37321.0,9436408.0,10168523.0,8772104.0,664302.0
249,NonResidential,Other,1999,1.0,3,1172127,Other - Entertainment/Public Assembly,1172127.0,not concerned,0.0,58761304.0,57406988.0,40622381.0,18138920.0
250,NonResidential,Hotel,2005,1.0,9,153882,Hotel,135006.0,Parking,20600.0,12726789.0,12871628.0,6232233.0,6494555.0
257,NonResidential,Warehouse,1916,0.0,4,79600,Non-Refrigerated Warehouse,79600.0,not concerned,0.0,2411402.25,2411402.25,2411402.0,0.0
260,SPS-District K-12,K-12 School,1997,1.0,4,241066,K-12 School,241066.0,not concerned,0.0,7791957.0,8886716.0,3096316.0,4695641.0
265,Multifamily MR (5-9),Mid-Rise Multifamily,2003,1.0,7,116947,Multifamily Housing,81740.0,Office,27403.0,10040121.0,10442680.0,5502627.0,4537494.0
267,NonResidential,Hotel,1999,1.0,0,934292,Hotel,495536.0,Parking,438756.0,65047284.0,66502836.0,39364114.0,25683162.0
273,SPS-District K-12,K-12 School,1999,1.0,1,71714,K-12 School,71714.0,not concerned,0.0,2371358.0,2470597.75,1944216.0,427142.0
274,NonResidential,Warehouse,1991,1.0,3,67236,Non-Refrigerated Warehouse,67236.0,Parking,8161.0,549181.375,571637.5,423381.0,125800.0
279,SPS-District K-12,K-12 School,2002,1.0,2,208981,K-12 School,208981.0,not concerned,0.0,8164853.0,9030149.0,4894851.0,3270002.0
280,Multifamily MR (5-9),Mid-Rise Multifamily,1909,1.0,6,51976,Multifamily Housing,50350.0,not concerned,0.0,4189569.25,4480534.5,1673151.0,2516419.0
281,NonResidential,K-12 School,1928,1.0,2,55653,K-12 School,55500.0,not concerned,0.0,1377627.0,1597907.25,6138.0,1371489.0
282,NonResidential,Hotel,1931,1.0,16,106860,Hotel,106860.0,not concerned,0.0,11935719.0,12616417.0,3561742.0,8373976.0
283,NonResidential,Small- and Mid-Sized Office,1972,1.0,5,50759,Office,47079.0,Restaurant,3680.0,3147042.0,3321734.0,2558533.0,588509.0
284,NonResidential,Worship Facility,1952,1.0,2,56772,Worship Facility,56772.0,not concerned,0.0,2439484.75,2762805.5,975113.0,1464372.0
285,NonResidential,Worship Facility,1952,1.0,3,103000,Worship Facility,103000.0,not concerned,0.0,4854429.5,5391782.0,2338435.0,2515995.0
286,SPS-District K-12,K-12 School,2006,1.0,3,269297,K-12 School,269297.0,not concerned,0.0,10498344.0,11208195.0,7203965.0,3294379.0
287,SPS-District K-12,K-12 School,2001,1.0,3,75174,K-12 School,75174.0,not concerned,0.0,2733846.0,3011741.75,1589543.0,1144302.0
289,SPS-District K-12,K-12 School,2003,1.0,3,75214,K-12 School,75214.0,not concerned,0.0,2334260.0,2457326.25,1733685.0,600575.0
290,SPS-District K-12,K-12 School,2005,1.0,3,134918,K-12 School,134918.0,not concerned,0.0,3822102.5,4135198.25,2895105.0,926998.0
291,SPS-District K-12,K-12 School,1991,1.0,2,64414,K-12 School,65310.0,not concerned,0.0,2295176.5,2453255.5,2295176.0,0.0
292,SPS-District K-12,K-12 School,1927,1.0,3,92437,K-12 School,92437.0,not concerned,0.0,4626443.0,5280739.0,967866.0,3658577.0
293,NonResidential,Other,1914,1.0,7,128766,Other - Entertainment/Public Assembly,109754.0,Other,12876.0,6057410.0,6057410.0,5732650.0,324760.0
294,NonResidential,Residence Hall,1913,1.0,9,107572,Residence Hall/Dormitory,63934.0,Office,27143.0,5572503.0,5879083.0,2496056.0,0.0
295,NonResidential,Other,1955,1.0,15,230880,Other,203000.0,not concerned,0.0,62197176.0,61674856.0,62197171.0,0.0
296,Multifamily LR (1-4),Low-Rise Multifamily,1917,1.0,4,56617,Multifamily Housing,56617.0,not concerned,0.0,1986611.375,2185550.5,1191899.0,794712.0
297,Multifamily MR (5-9),Mid-Rise Multifamily,2009,1.0,6,56745,Multifamily Housing,43673.0,not concerned,0.0,2473962.5,2574628.5,1555274.0,918688.0
300,SPS-District K-12,K-12 School,2007,1.0,3,204961,K-12 School,204961.0,not concerned,0.0,8190809.0,8935423.0,4528726.0,3662082.0
302,NonResidential,Other,1973,1.0,1,76086,Other,77810.0,not concerned,0.0,3267564.0,3576720.0,1563366.0,1704198.0
313,NonResidential,Medical Office,1927,1.0,5,151000,Medical Office,146741.0,Office,9805.0,28731502.0,28731502.0,18745441.0,9986059.0
314,NonResidential,Hotel,1961,1.0,4,122309,Hotel,122309.0,not concerned,0.0,25453690.0,26122018.0,6322533.0,19131155.0
315,Campus,Other,1995,4.0,3,215476,Other,217088.0,not concerned,0.0,24017770.0,24606366.0,13788853.0,10228916.0
316,NonResidential,Hotel,2003,1.0,8,215473,Hotel,277000.0,not concerned,0.0,26659244.0,26831896.0,13763542.0,12895700.0
317,Nonresidential COS,Other,1980,1.0,2,69400,Other - Entertainment/Public Assembly,69400.0,not concerned,0.0,14833476.0,15230290.0,10534370.0,4299104.0
319,NonResidential,Small- and Mid-Sized Office,1914,1.0,4,56500,Office,33000.0,Retail Store,7000.0,1380293.625,1500938.5,887532.0,0.0
322,NonResidential,Large Office,1968,0.0,3,74003,Office,100734.0,not concerned,0.0,9788717.0,9892566.0,9788716.0,0.0
323,NonResidential,Small- and Mid-Sized Office,1981,1.0,4,59158,Office,62108.0,Parking,17570.0,5007401.0,5168686.5,4286102.0,721298.0
326,NonResidential,Large Office,1989,1.0,25,369996,Office,383942.0,Parking,127192.0,24755086.0,24755086.0,24755084.0,0.0
327,NonResidential,Retail Store,1925,1.0,10,693450,Retail Store,361107.0,Office,332343.0,40062888.0,40037736.0,37497068.0,2544584.0
328,NonResidential,Large Office,1976,1.0,33,791396,Office,622034.0,Parking,132465.0,40847752.0,42227404.0,40839637.0,538251.0
329,NonResidential,Large Office,2000,1.0,23,542671,Office,542461.0,Parking,219045.0,30985420.0,31693704.0,27883939.0,3101477.0
330,NonResidential,Small- and Mid-Sized Office,1926,1.0,10,55652,Office,45260.0,Retail Store,6187.0,3444270.0,3826622.5,1357845.0,0.0
332,NonResidential,Small- and Mid-Sized Office,1916,1.0,5,73399,Office,51557.0,Retail Store,9976.0,3757006.0,3992167.75,3757005.0,0.0
333,NonResidential,Large Office,1969,1.0,20,233517,Office,226454.0,Parking,29214.0,14633233.0,15742790.0,8064399.0,0.0
334,NonResidential,Large Office,2009,1.0,25,529375,Office,582725.0,Parking,191082.0,27018020.0,27018020.0,26131643.0,886373.0
335,NonResidential,Large Office,1968,1.0,12,206000,Office,161000.0,Parking,51250.0,8580279.0,9075988.0,6267781.0,0.0
336,NonResidential,Large Office,2009,1.0,36,669915,Office,743562.0,Parking,161119.0,39523852.0,39360016.0,39523847.0,0.0
337,NonResidential,Large Office,1990,1.0,16,339240,Office,311736.0,Parking,123356.0,17867002.0,18468776.0,17733276.0,133724.0
339,NonResidential,Small- and Mid-Sized Office,1900,1.0,7,89550,Office,64712.0,Retail Store,10058.0,3903259.75,4135330.5,3554872.0,0.0
340,NonResidential,Small- and Mid-Sized Office,1900,1.0,6,89355,Office,82355.0,Retail Store,7000.0,4178233.5,4188308.75,4116601.0,61632.0
341,NonResidential,Large Office,1922,1.0,15,388934,Office,388934.0,not concerned,0.0,18576900.0,18982748.0,17384553.0,0.0
343,NonResidential,Large Office,1958,1.0,17,293925,Office,236827.0,Parking,83311.0,24906132.0,0.0,13985064.0,0.0
345,NonResidential,Large Office,1983,1.0,47,1323055,Office,1011135.0,Parking,272682.0,44683660.0,44683660.0,44521844.0,161812.0
346,NonResidential,Large Office,1986,1.0,41,460489,Office,470416.0,Parking,107667.0,24603420.0,24603420.0,24603417.0,0.0
347,NonResidential,Small- and Mid-Sized Office,1950,1.0,6,89699,Office,89699.0,Parking,1392.0,1835804.875,1916413.75,1355021.0,0.0
348,NonResidential,Large Office,1968,1.0,8,94948,Office,84838.0,Parking,15401.0,3743228.5,3743228.5,3743228.0,0.0
349,NonResidential,Large Office,1991,1.0,29,438072,Office,522667.0,Parking,194435.0,18221224.0,18754466.0,18040489.0,0.0
351,NonResidential,Large Office,1980,1.0,34,614158,Office,606050.0,Parking,154947.0,32552428.0,32577050.0,32457349.0,95076.0
352,NonResidential,Large Office,1972,1.0,14,162993,Office,182540.0,Parking,33671.0,9641043.0,9843217.0,7486064.0,0.0
353,NonResidential,Large Office,1969,1.0,49,754455,Office,808980.0,Parking,232248.0,45163308.0,47518124.0,38378889.0,6784415.0
354,NonResidential,Large Office,2002,1.0,37,888049,Office,765351.0,Parking,185581.0,41213584.0,42071712.0,41213579.0,0.0
355,NonResidential,Large Office,1973,1.0,42,446184,Office,581558.0,Parking,189600.0,69519808.0,71568952.0,68636822.0,0.0
356,NonResidential,Large Office,1907,1.0,8,201480,Office,161762.0,Retail Store,29094.0,8921778.0,9510490.0,7301810.0,0.0
357,Nonresidential COS,Large Office,1990,1.0,63,1195387,Office,1191115.0,Parking,159599.0,61576184.0,61576184.0,61576180.0,0.0
358,Nonresidential COS,Large Office,2001,1.0,14,310490,Office,269284.0,Other,28394.0,21169502.0,21960822.0,16124036.0,5045465.0
359,Nonresidential COS,Large Office,2003,1.0,8,168870,Office,160418.0,Parking,18590.0,13214416.0,13972700.0,8738965.0,4475451.0
360,NonResidential,Large Office,2006,1.0,13,319539,Office,319539.0,Parking,52703.0,13843866.0,13862720.0,11248986.0,2594878.0
361,NonResidential,Large Office,1909,1.0,7,106099,Office,96582.0,not concerned,0.0,2746560.75,2970604.25,1640689.0,1105871.0
363,NonResidential,Retail Store,1978,1.0,2,89200,Retail Store,89200.0,not concerned,0.0,6461937.0,6707359.5,5499125.0,962811.0
